,features,coef
0,mean_RSS_Q1,-0.005032498459903322
1,imm,0.031493538779721206
2,income_mother,-0.0005333685334476843
3,income_father,0.018576648472925283
4,mean_SWLS_Q1,-0.03225252702411377
5,mean_RSS_Q3,-0.0022844091650658107
6,mean_SWLS_Q3,-0.04207235435531059
7,mean_gse,0.01579743038809116
8,mean_anger,-0.02451180570316912
9,mean_RSES,-0.008260367342122977
10,mean_scl_Q1,0.041092349590800575
11,mean_scl_Q3,0.13969854291289033
12,LTH_of_MD_agg,-0.010333139365982813
13,ss_bin,-0.032352913215448115
14,edu_bin,0.0012688117079620598
15,abuse_bin,0.009069788581769765
16,ALE_bin_Q3,0.007361859385339516
