,score
CC1237,1.4553903290722987
CC1209,1.3827019271137184
AA1550,1.1461015498145681
CC1204,1.1118651662307477
AA1125,0.7503630317888745
CC1245,0.7466927390337482
CC1202,0.705137290753812
CC1196,0.6289652355696564
CC1259,0.6225082760085441
CC1206,0.47659549070657675
CC1247,0.47631830983050044
AA1528,0.4732923109018441
CC1208,0.45910361170774816
CC1197,0.44844228467739145
CC1243,0.4476369411945427
CC1227,0.4323433283606526
CC1200,0.4254463062260919
AA1552,0.42444338379891483
AA1548,0.41430479043798846
CC1241,0.38102782368326227
CC1207,0.36018670612554776
CC1193,0.3546954893744672
AA1530,0.35295083628610185
CC1232,0.34753124286739284
CC1194,0.3470972303282864
AA1305,0.3398220259774201
AA1549,0.3351128112925832
AA1540,0.3265796254832801
CC1226,0.3225955190016651
CC1199,0.31788808961971854
AA1539,0.3119408971762415
AA1536,0.30153758339680026
CC1225,0.3006787647522925
AA1533,0.29409349175302846
CC1274,0.2940580758971832
CC1231,0.2923170987343992
CC1272,0.2921338312245642
AA1534,0.28913637749800875
AA1537,0.2886426528363101
CC1239,0.28711468756905406
AA1316,0.28326584861436377
CC1203,0.28263419749450164
CC1195,0.2779218796793759
CC1233,0.27737053536347805
AA1535,0.27716231819391235
CC1192,0.27646309294769666
CC1224,0.27533055086097213
AA1541,0.2738491526365758
CC1201,0.2735686405701457
AA1538,0.27130518625352873
AA1532,0.2701726192388548
AA1551,0.26933188228489197
CC1205,0.2668712671282246
AA1545,0.263612048103293
CC1267,0.25873230806762265
CC1229,0.25553188847794645
AA1527,0.25543157886310935
CC1198,0.25254725949652546
AA1315,0.2521811001193972
CC1228,0.2512344737678034
AA1124,0.24503679922042698
CC1265,0.24464368307278822
CC1266,0.24368063766858497
CC1214,0.2435317109218982
CC1215,0.24174318227299954
AA1529,0.23951292868595986
CC1258,0.23638983312450104
CC1260,0.23410445959389747
CC1218,0.23353775443201558
AA1531,0.2332487345667854
CC1253,0.22720608965333397
CC1216,0.22699944604242278
AA1572,0.225472446774754
CC1213,0.22368643034931654
CC1230,0.2223125322173185
AA1577,0.21806465792066143
CC1219,0.21709912245607993
CC1220,0.21638231101426225
CC1217,0.21590667291646415
CC1235,0.21140682179145
CC1273,0.20879786450349264
CC1251,0.20770262438231185
CC1252,0.20335695174297236
AA1579,0.20141565778915124
