,score
AA1484,91.4956540944948
AA1480,85.87606042689468
AA1482,50.4604205048588
AA1473,35.80134730284513
AA1483,30.44798271149524
AA1469,16.04303280234574
AA1151,15.759755348096464
CC1073,14.93774416
AA1485,13.581458931074078
CC957,12.473777795000004
CC1168,10.488905235224488
AA1562,10.034006842156252
CC965,10.028791162950773
AA1472,9.74176398275638
CC961,8.97532217141475
CC956,8.94251869143913
AA1565,8.185827992944446
AA1553,7.534676107462338
AA162,7.222091204883754
CC1172,5.5021935040789485
AA1481,5.396961184528125
CC919,5.199670750929414
AA1554,4.954137850464646
CC962,4.887289745056376
AA1471,4.865235717281967
CC929,4.2082409528563565
CC1171,4.031851721435716
CC1276,3.7115813206315784
AA1454,3.4651507080105834
CC954,3.4364661039926707
CC970,3.3315766241314884
CC966,3.0295385091483875
AA1298,2.9990212697615366
CC958,2.920629689122172
CC1250,2.8909289490882975
CC953,2.6625131456075724
AA1455,2.5624753516018166
AA1463,2.545147335597497
AA1152,2.522025077173409
CC1162,2.470484450382432
CC1180,2.4093035495663986
CC964,2.3605637344545447
CC1074,2.357750513714286
AA1135,2.3209088885368003
CC967,2.3179771646969693
AA1189,2.2960339865793906
CC1169,2.0366907528076914
CC1173,2.007377210346283
AA1560,1.9775154364128211
AA1300,1.9250513440873955
CC1067,1.9062376026000003
AA1465,1.7682883187980198
AA1188,1.7615297601310462
AA1150,1.6158762535217397
AA155,1.6151299816121008
CC1209,1.613513445332787
CC1163,1.6134331631314287
AA116,1.5972537519411285
AA160,1.4403060886808217
CC1262,1.4394500325555555
CC1176,1.4005979053532398
CC1204,1.3844951215047059
AA1557,1.3586795930452835
CC1242,1.356731714523881
AA161,1.3343144989456757
AA1551,1.3244540781086331
AA1149,1.3238669011353086
AA1555,1.3190466391859368
CC1174,1.3074135996043643
CC969,1.3061931515569538
CC945,1.2905000978495336
CC913,1.276720740166101
CC1268,1.2724781232000002
AA1309,1.270476459967227
CC1193,1.266377959228808
CC1200,1.2600191781666659
CC1161,1.2527819379528458
AA1467,1.2474139525610002
AA1550,1.2298785281151514
AA1138,1.21765137
CC1263,1.197095917413793
AA1487,1.1960184567418608
AA1452,1.1780468433888887
CC948,1.1686699390499997
CC1246,1.1525304467341464
CC1210,1.151790467616285
CC1227,1.1458207184275893
AA1190,1.1368585536388855
CC922,1.1316530081191785
AA1477,1.1291914257952378
AA1529,1.1164691067424863
CC920,1.105501902755264
CC1237,1.0995703737437499
AA102,1.0990240786148293
AA1460,1.097564098172414
AA96,1.0943273753818805
AA1528,1.0820538425768635
CC952,1.0760915072759256
AA1295,1.0648556540909089
AA97,1.0619170282619028
AA1132,1.0581959939454548
CC1278,1.0366754145659995
AA1131,1.0353943064218751
CC941,1.0314032244641025
CC1202,1.031050516996465
CC1170,1.030448316
CC1226,1.0272239571848492
AA1183,1.0200108512886288
CC1208,1.0149620552236844
AA1559,1.0107274438709675
CC1213,1.0097392550804754
CC1196,1.0068713789488766
AA1125,1.0014171591478902
AA1294,0.992397111642
AA154,0.9896757896893802
CC1158,0.9886368550364324
AA130,0.9800788965384617
AA1143,0.9781788455117647
CC911,0.9771724242498719
CC1267,0.9742845525592594
CC1159,0.9702033913694738
CC1197,0.9700339828593058
AA87,0.9597207017381172
CC1257,0.9573978853495095
CC1157,0.9489153705132365
CC1203,0.9455581444033055
AA1184,0.9447980733829122
AA1470,0.9446017430052082
AA1301,0.9401580213217461
CC1258,0.9394820592249999
AA98,0.9384034012406567
CC1275,0.9380973471818184
AA1139,0.937243694390909
AA1133,0.9346329918000001
AA1293,0.9283859293352941
AA1153,0.9277120646769997
CC1164,0.9271318295488882
AA1461,0.9181208130419404
AA1141,0.9177427642833328
CC1271,0.9173071487188409
AA1536,0.9152016026754599
AA126,0.9148823459999997
AA1537,0.9146338521728267
AA158,0.9146245560697367
AA123,0.9136436880000001
AA135,0.9124371386428572
AA122,0.911144931020408
CC917,0.9083831349573033
AA128,0.9064204326229508
AA1323,0.9051915161692307
AA1191,0.8992474280521429
AA1325,0.8984289122339624
AA1305,0.8945045173555073
AA1540,0.8893358708917072
AA119,0.8884413625
CC1212,0.8865583521977523
CC1233,0.8858003769560002
CC1224,0.8855131216953904
AA100,0.8820510072839274
AA1178,0.8811297121255804
AA131,0.8797578566818185
CC1225,0.8786553809339056
AA129,0.8773059727142858
CC1230,0.8756983891346707
AA1303,0.8727327113318181
AA1127,0.8720168657546666
CC1178,0.8710532705006816
CC1181,0.8709661398071032
AA1304,0.8655040324247099
CC937,0.8637477944819095
CC1270,0.8628367832657143
AA1466,0.8612860348046821
CC1177,0.8591924547087137
AA1180,0.8586150182164941
AA1474,0.8569893219837973
CC950,0.8550226098734693
CC946,0.8547142756526913
CC928,0.8546935766334977
CC1156,0.8527723498616491
AA1182,0.8506436805672564
AA1142,0.8503209322945946
AA101,0.847173296374892
AA1176,0.8448991621048378
AA1552,0.8413374767455973
AA1175,0.8399046802962958
CC1232,0.8398325950855171
AA1545,0.8353451324059349
AA1316,0.8351955690020426
AA1186,0.8350586643905289
AA1535,0.8328465946474941
AA85,0.829429944572116
AA1302,0.82842620364375
CC1236,0.8258948830270999
AA1574,0.8254765375939126
CC1165,0.8253471800477775
CC925,0.8250643210062552
AA1556,0.8250334963666665
AA1576,0.8223409675964282
CC935,0.8221160726829766
AA1164,0.8213608055000002
AA1527,0.8196558976688456
AA1459,0.8192524237248293
CC1195,0.8189115799715282
AA1173,0.8186143078028797
AA103,0.8183103882323284
AA88,0.8165928531629782
CC1228,0.8159451512198067
AA1297,0.8154401055882353
AA1148,0.8136965488313513
AA1564,0.8121854381913044
CC1231,0.8121771163268751
AA1468,0.8113830027344827
AA1478,0.8095967894918987
AA1548,0.8086392776219293
CC1198,0.8079381019614129
AA1570,0.8053874911604447
AA1549,0.8051666945249997
CC1192,0.8043921628336567
AA86,0.804007703592379
CC968,0.8021272180090908
CC1206,0.8001436313927147
AA1146,0.7985659590515789
AA1162,0.7971388672799999
CC944,0.7965509742863013
CC1255,0.7940934480885713
AA1572,0.793034052751756
CC1166,0.7919109108119401
CC960,0.7906413820416666
AA1161,0.7903276579597701
AA1571,0.7896984603106253
CC1273,0.7891514467142858
AA1547,0.7881046738247192
AA1177,0.7856884479268086
AA1181,0.7838439593325441
AA107,0.782754629519714
AA1575,0.7825705493744443
AA1546,0.7818739617214813
AA1327,0.7795410448445308
AA1296,0.776879155141321
CC1266,0.770596746054054
CC951,0.7699665342517241
AA108,0.7694797443451219
AA1321,0.7691299696451611
CC921,0.7673363664482761
CC1201,0.7673147750138094
CC1241,0.7652589204999999
CC1219,0.7641717160809542
CC1160,0.7616368928289999
AA106,0.7616048480208152
AA1464,0.7595328946088858
CC1199,0.75795448344
AA1573,0.7575262293946237
AA104,0.7565328244670435
CC918,0.7556400089937503
CC1243,0.7541022002000001
CC1248,0.753121327899091
CC1211,0.752648912559659
AA89,0.7513538641351785
AA1539,0.7484620993532177
AA1185,0.7478871479248294
AA1166,0.7454004625785507
AA1193,0.7450598742034146
CC1214,0.7431297262906399
CC1229,0.7415053056927946
CC1240,0.7401818978254239
CC923,0.7399789903914735
CC1207,0.7398454778933333
CC910,0.7365824082881319
AA132,0.7357851568000001
CC1259,0.735579092651282
AA1578,0.7354248765839142
CC924,0.7341999370876467
AA1167,0.7338260215083872
AA118,0.7326122762561644
AA1475,0.7292797900706988
AA1147,0.7281948509313793
AA1534,0.7234312385415733
AA1479,0.7231883983324996
AA1194,0.7215371433999995
CC1247,0.7210803190733331
CC1218,0.7202191680410113
CC1194,0.7186889564040467
AA1172,0.7183572001044898
AA1123,0.7176372476213968
AA159,0.7169030028100001
AA1326,0.7165030623636361
CC914,0.7148975498701922
AA1187,0.712838931058929
AA115,0.7121066186298967
AA1568,0.7117129138305883
AA1124,0.7097170949955672
CC1264,0.7096205209911391
AA1541,0.7092928034421091
CC915,0.7082876280403599
CC1216,0.7066324743417088
AA93,0.7056303984695774
CC1167,0.7047825051980705
CC1215,0.7044376310564517
CC1238,0.7023105460814814
CC1179,0.7008454477201684
AA1569,0.6987119015597827
CC1205,0.6975676111125002
AA1453,0.69715063201673
AA1159,0.6954443245949884
CC943,0.695148705415443
CC1244,0.6946500366894739
AA109,0.6938307824176468
CC1265,0.6937222783040002
AA1538,0.6932608190832107
AA1324,0.6916506404324325
AA95,0.6910501756204598
CC1253,0.6908418434260869
CC1217,0.6906344337466404
CC912,0.6870303824378377
CC1245,0.686958705944077
AA94,0.6854901541475824
AA1456,0.6841927440399156
AA1128,0.6829764605714288
AA1462,0.6816395764702222
AA1322,0.6812228502755101
CC1256,0.6806433209403507
AA113,0.6762350632448275
CC1239,0.6749826622364863
AA1561,0.6748384652437501
AA1140,0.6728077390977114
AA1144,0.6714851119540816
AA1318,0.6714841487351612
CC1234,0.6712599663314484
AA1531,0.6709075343567555
AA1533,0.6676403239623043
AA1476,0.6668759962637572
CC1252,0.6661409395750002
CC1277,0.6644922185203388
AA1532,0.6628197365513583
CC1274,0.6621370501756757
AA156,0.660239271772197
AA1145,0.6591201336489999
AA1458,0.6587809556699998
AA1315,0.6582949458556887
AA121,0.6571752591622639
AA1320,0.6557412172436363
AA1319,0.6552864763200001
CC1220,0.650641186581522
AA1130,0.6504611815849056
AA105,0.6488694117390242
CC1260,0.6476601598562499
CC942,0.647057085992222
AA1567,0.6469809511200001
CC1261,0.64696056746
AA1192,0.6436376272054055
AA1530,0.642997546250708
AA1488,0.6426970102534668
CC927,0.6425746637680552
CC926,0.641776832311336
AA112,0.641102106167639
AA1486,0.6405896730640002
AA117,0.6400146299846153
AA114,0.6327538158
AA157,0.6324578642709676
CC936,0.6285959426501256
AA1163,0.6240144573333334
AA1179,0.6238557553724925
AA1317,0.6221187540203804
CC949,0.6200686433000001
CC1235,0.6162211433819483
AA1126,0.6150068117149364
AA99,0.612678854857778
AA1577,0.6109738401191782
AA163,0.6082227556744185
CC1175,0.6064048975489654
AA1457,0.6060364374413252
CC1251,0.6057778273105268
AA125,0.601783037
AA1579,0.6002573480882926
AA120,0.5984166942474999
AA1137,0.5919806609142858
CC909,0.590910835109375
AA1174,0.5907114337058286
AA1558,0.5864724153745585
CC1272,0.581374083025641
CC1254,0.57926276027
AA1157,0.5755597193389285
AA110,0.5712470873910387
CC1269,0.5703201014
AA124,0.5639563991999998
AA1160,0.5471332936117647
AA111,0.5447642946190475
AA1136,0.5285013474133333
AA1129,0.5282555306842106
CC940,0.5276453656716177
AA127,0.5238337520769231
AA136,0.48981673499999995
AA1134,0.4623157722408164
AA1328,0.4485051052941177
AA140,0.435266972
CC959,0.4295336400000001
AA137,0.424672782
CC1072,0.4046180491666667
CC1068,0.397167196
AA1563,0.34069383165
AA1566,0.282270133675
AA134,0.26794645174
