features,coef
AA85,-0.000539154926828405
AA86,-0.0
AA87,-0.017339645204334574
AA88,-0.010701257631023382
AA89,-0.0004711853192940658
AA93,0.0
AA94,-0.0
AA95,-0.0
AA96,-0.006754773851898239
AA97,0.0
AA98,0.0004810343229957601
AA100,0.0
AA101,-0.0
AA102,0.0020541821376367834
AA103,0.0
AA104,0.007210436647841338
AA106,-0.0
AA107,-0.0022798933870954393
AA108,0.0
AA109,-0.0
AA110,-0.006166152268899946
AA112,-0.000986680616034663
AA113,-0.0
AA114,-0.0
AA115,-0.0
AA116,0.0039632255261663535
AA118,-0.0
AA119,-0.0
AA120,-0.0017299622129003198
AA121,-0.0
AA122,0.0
AA124,-0.0
AA125,0.0
AA126,-0.0
AA127,0.0
AA128,0.0
AA130,0.0
AA131,0.0
AA132,0.0
AA133,0.0
AA134,0.0
AA136,-0.0
AA137,-0.0
AA138,0.0
AA139,-0.0
AA140,0.0
AA142,-0.0
AA143,-0.0
AA144,-0.0
AA145,-0.0
AA146,0.0
AA147,-0.0
AA148,-0.0
AA149,0.0
AA150,-0.0
AA151,-0.0
AA152,0.0005464851562604916
AA153,0.0
AA154,0.0011189510280001343
AA155,0.0
AA156,-0.0
AA157,0.0
AA158,0.005001768962253831
AA159,0.004781645539804967
AA160,0.006008338413551408
AA161,0.0
AA162,-0.0
AA1123,0.0024408906819554234
AA1124,0.0
AA1125,-0.0
AA1126,0.0002409637712342332
AA1127,0.0012594997377857085
AA1132,-0.0
AA1133,0.0048246672176821045
AA1134,0.0
AA1135,-0.0
AA1136,0.0
AA1137,-0.012574738705166568
AA1138,-0.0
AA1139,0.0017971121029050424
AA1140,0.0
AA1141,0.0028591875284913063
AA1142,0.0010344610371932665
AA1143,0.0
AA1144,-0.0
AA1145,0.0
AA1146,0.0
AA1147,0.006912100916912752
AA1148,0.007395175978651445
AA1149,0.011043681164998067
AA1150,0.009431653117243238
AA1151,-0.0
AA1152,0.0
AA1153,-0.0
AA1157,0.0
AA1159,0.0
AA1160,-0.005315157172471842
AA1166,-0.0
AA1167,-0.00145844028030587
AA1172,-0.0
AA1173,-0.0
AA1174,-0.01127941484443954
AA1175,-0.0
AA1176,0.0
AA1177,-0.0
AA1178,0.003385556405364557
AA1179,0.0
AA1180,0.0064859238363584835
AA1181,0.003659987274744572
AA1182,0.017278774772562955
AA1183,-0.0015766255217534552
AA1184,0.007113202900591631
AA1185,0.014605244407781054
AA1186,0.0145232208987606
AA1187,0.0065357384976387906
AA1188,0.0056363067517399374
AA1189,0.0038759703899015592
AA1190,-0.0008818239133099945
AA1191,0.0
AA1192,0.0018294578715612425
AA1193,-0.0
AA1194,0.0
AA1293,0.00548003869554791
AA1294,0.0
AA1295,-0.0
AA1296,-0.0
AA1297,0.0014689961942639985
AA1298,-0.00596735578383037
AA1300,0.00805860695876375
AA1301,-0.0
AA1302,-0.002421679053794026
AA1303,-0.0
AA1304,0.005590532372806047
AA1305,0.0
AA1309,-0.0
AA1315,0.0
AA1316,0.0
AA1317,0.0
AA1318,-0.0
AA1319,0.0
AA1320,-0.0
AA1321,0.0026921605835689127
AA1322,0.0
AA1323,0.0
AA1324,-0.0
AA1325,-0.0
AA1326,0.0
AA1327,-0.0024561886694832113
AA1328,0.0
AA1452,-0.025320813974669117
AA1453,0.0036088282001454676
AA1454,0.0
AA1455,-0.0
AA1456,-0.0
AA1457,-0.0027460721454141686
AA1458,0.0001919316772840226
AA1459,0.003198318254102052
AA1460,-0.0
AA1461,0.0
AA1462,-0.0064982665938220765
AA1463,-0.0
AA1464,0.006675431107225006
AA1465,0.0
AA1466,0.00010934996162921584
AA1467,0.0
AA1468,-0.0
AA1469,0.017479896278676677
AA1470,0.0006153297090719605
AA1471,0.0
AA1472,-0.0028791122927317838
AA1473,0.0
AA1474,-0.0
AA1475,-0.0
AA1476,0.0003441973512592579
AA1477,-0.0
AA1478,-0.019332693455544142
AA1479,0.00485547027970807
AA1480,-0.004773752403880931
AA1481,-0.012943858558767295
AA1482,-0.029530151310305716
AA1483,-0.02405118085469743
AA1484,-0.0028070875287551263
AA1485,-0.0
AA1486,0.0
AA1487,0.0022396020031192924
AA1488,-0.008612029667008515
AA1527,-0.0
AA1528,0.0
AA1529,-0.0
AA1530,-0.0
AA1531,0.0
AA1532,-0.0
AA1533,-0.0035062590210875075
AA1534,-0.0024315588567973335
AA1535,0.0036242443333834363
AA1536,-0.0
AA1537,-0.0
