,score
0,10.779607143992495
37,6.603366756815685
4,5.389661965796285
12,3.9626543075674814
17,3.775572329908309
19,3.4286809912257885
15,3.109001315003039
53,3.0265152350465048
3,2.8738345691670526
50,2.439969935716224
80,2.43272299458907
13,2.3952315958896677
55,2.283554722880534
34,2.111291407266196
9,1.8279302019425403
43,1.7279977443073624
162,1.6287924426442335
21,1.6163673692873004
73,1.6145039447020857
117,1.6090395833343314
58,1.6001881519242411
87,1.5425855593783446
47,1.507856664824295
23,1.4237665611429724
22,1.3656022482706751
38,1.3440403612107006
168,1.3411464019934116
11,1.3339540691911507
107,1.3329559962384872
29,1.3091299860768244
218,1.30857652278164
51,1.2760917746645497
49,1.2737777871045401
42,1.2685193222375755
71,1.2638067200291734
98,1.25986866729471
217,1.2374127450005046
52,1.2335764618430543
86,1.2332771257888886
135,1.2189874100912534
44,1.2151825400130882
82,1.199922964319502
190,1.1982203428194618
41,1.1979561144982047
154,1.1964686461057772
143,1.1844996738778557
150,1.1838359449232292
95,1.1831683288558927
105,1.171768059678274
8,1.1702902399488375
62,1.161849899697316
45,1.1608201754652931
32,1.1596078789612847
24,1.1591439184389742
287,1.1571600165165794
83,1.1514106935956387
144,1.1493411271152154
161,1.1451576707944475
69,1.1434400672095826
81,1.1403993436189455
183,1.13532406784931
195,1.1311228245025267
285,1.1291129722905537
213,1.1173756265751407
20,1.1105438955690123
40,1.108855757787944
173,1.1086335845763235
230,1.108495058069186
163,1.108271683120198
259,1.1056067022797846
165,1.1044283156398613
60,1.103864501769148
65,1.1021208051372804
76,1.1010446049443021
35,1.1007673941862226
174,1.0999597038531745
61,1.0996136152855975
170,1.0986834646071604
25,1.0972464058893159
6,1.0970880562129814
125,1.0943844061899066
72,1.0936819275581195
221,1.0928823407579769
184,1.088519750981119
142,1.0877999640884666
7,1.0876025242235219
182,1.0858665628082214
108,1.0852261124380043
158,1.0824161220004516
222,1.0817764163648944
138,1.081658168919468
276,1.0781740235775554
70,1.0778262841770363
191,1.0769188744738356
156,1.0747880598790966
30,1.0714825154158119
248,1.069916371540259
106,1.0667626947026896
124,1.0660771109275529
176,1.0653184181822544
66,1.061611750073565
228,1.0608687329830724
134,1.0600511333769842
113,1.0571348787181973
141,1.0570404578470634
74,1.05576269253623
187,1.0556805104587348
240,1.0556000996704689
27,1.0539731449414418
241,1.0530239009385138
63,1.0520162050804043
110,1.0507695138763324
140,1.048729257875161
33,1.0484200598640672
85,1.0463996578232977
225,1.0438258208074382
234,1.0428229897331829
254,1.0421731170902107
185,1.0415923238133804
216,1.041190734053211
26,1.0402548438994674
57,1.0392589652210655
212,1.0382324785832564
16,1.0373499174777838
145,1.034870844764137
242,1.0342808521721283
18,1.032652356330178
93,1.0321237952705027
103,1.0320421640352067
278,1.0316493609132245
270,1.03108262909148
272,1.0300297572905015
137,1.0294318895694745
127,1.028430097601667
169,1.0283796804871272
123,1.0280251413788113
139,1.0264944956621402
89,1.02598585563211
152,1.0255150050818878
111,1.0252200106541518
226,1.023401458441076
56,1.0233550017874973
257,1.0217575613953098
116,1.0195765467306646
238,1.019405341709395
120,1.0192063371898694
48,1.0191690667369675
223,1.018846704141227
251,1.0175810154934757
239,1.0170517608273928
192,1.0155792831424737
258,1.0121887755027492
236,1.0118353907380693
146,1.010770923161956
46,1.009271427515665
275,1.006323451352321
91,1.0019818661644713
67,1.001888941231884
179,1.0016184444887146
207,1.001256276271174
79,1.001199340688705
164,1.0002625295946617
115,0.9992654048939411
68,0.998875008973344
214,0.9986374045289251
159,0.9982999361997716
109,0.9968676885793069
54,0.9953360822402189
122,0.9950004415145793
1,0.9937720801394918
211,0.9934216957904016
31,0.9926113496940926
209,0.9919577878468394
166,0.9915340282297095
136,0.9900699745983689
5,0.9889774940442209
227,0.9888617378074182
104,0.987517525504087
194,0.9872986239685515
268,0.9868063750656054
267,0.9858829835374394
130,0.985173483238144
235,0.9837613047606136
253,0.9827239392025366
205,0.9823008839712832
148,0.9800447844763495
249,0.9798474822200248
132,0.9792042690851653
261,0.9789560238816403
94,0.9788415687003389
277,0.978266336259319
14,0.9781143944861947
274,0.978014926938465
129,0.9776678825316615
260,0.9775685834161535
265,0.9775611113415672
202,0.9772694467182715
252,0.9762465467032214
201,0.9752444088409025
160,0.9744414663643375
284,0.974180733278128
102,0.9738102385750963
250,0.9737906945112866
181,0.9735363841946124
204,0.97161264284296
266,0.9712566634043068
121,0.9694147471461905
279,0.9684497566021034
2,0.9682015298475557
92,0.9680485143392971
100,0.9680096750627611
198,0.9676472103175326
281,0.9668251378663055
101,0.9637252499834387
237,0.9619949834766081
99,0.9605351355783673
180,0.9598797939934145
203,0.9584124992844766
286,0.9579943705681587
231,0.957626758756972
97,0.9570434281277171
155,0.956340036133384
283,0.9556726119114005
84,0.9555272623354325
280,0.954597121704247
247,0.9542904383268065
271,0.9536356187805082
186,0.9536195870469992
119,0.9534149408375681
128,0.9533151506222879
269,0.9528170285134174
210,0.9524449230850801
96,0.9511678902201868
178,0.9495782095356138
196,0.9489462246927552
172,0.948619617233068
200,0.9482698359975485
229,0.9479103325105569
64,0.9477928825397547
206,0.9476759778785592
28,0.9464100372542973
263,0.9457940256247432
10,0.9455661959100979
133,0.9455236776694121
118,0.9454835268749999
36,0.9441169429688366
153,0.9437194971686805
246,0.943573916823626
273,0.9433355168148936
188,0.942470396696933
219,0.9412195602070265
224,0.9392708846302252
215,0.9390181624650069
282,0.937321575071797
171,0.936705437802087
88,0.9349434461191233
262,0.9335861397206558
112,0.9335282586481242
208,0.9321982722552712
243,0.92977624105821
199,0.9296769755818108
75,0.9292541270929052
175,0.9286892946932553
167,0.9283264263509688
114,0.9268002477744096
147,0.9266726103565347
255,0.926308723235987
149,0.9250483144697544
264,0.9241669227103401
77,0.9237969041545294
90,0.9204588272320954
189,0.9204392862591723
193,0.9199127788789315
131,0.919238550102517
233,0.9179931334566821
256,0.9178911394043844
157,0.9169161372559828
177,0.9148496579176143
78,0.91210797365227
