,score
mean_scl_Q3,1.3184157712216895
mean_scl_Q1,0.8656492249985088
mean_SWLS_Q3,0.5992095993258474
mean_SWLS_Q1,0.5837267734413021
mean_RSS_Q3,0.5706781628441752
ALE_bin_Q3,0.5369023240999958
ss_bin,0.49531078143396556
mean_RSS_Q1,0.46296876118421454
imm,0.4333652785721573
mean_RSES,0.4321913338713379
mean_gse,0.4125275046202632
income_father,0.40154848644742064
mean_anger,0.3906745212306759
abuse_bin,0.381480023791498
income_mother,0.38083652242113497
LTH_of_MD_agg,0.3168825784126165
edu_bin,0.30167455887236583
