,score
GG650,1.968315534767453
GG237,1.6806618953924846
GG238,1.6452590641604379
GG351,1.6328002556918606
GG366,1.5910912064428697
GG654,1.368726108644511
GG657,1.2660817263694382
GG364,1.1754254180278125
GG287,1.0616014744364584
GG230,1.0111114220924478
GG281,0.9468462077721667
GG228,0.8828386939302764
GG482,0.8782757659720943
GG484,0.7933345100251886
GG284,0.7844074827669335
GG496,0.719152761754333
GG608,0.7024300456650237
GG229,0.6982405471930108
GG613,0.6926603607415497
GG227,0.6799152458105897
GG222,0.645321826762595
GG264,0.6013393161118802
GG649,0.5855947298804608
GG483,0.5776447746971781
GG500,0.5704705589716491
GG359,0.5643255887287952
GG290,0.5344219465718072
GG646,0.5208188562604605
GG497,0.5083395064702044
GG480,0.5018375124362827
GG645,0.49377565624210557
GG612,0.49186913074703553
GG607,0.4806694837658865
GG540,0.46900363639989207
GG653,0.4215661979339186
GG637,0.4173009976842717
GG449,0.4145078788792686
GG606,0.4094294259970328
GG282,0.40742796305083234
GG609,0.4027797845038638
GG489,0.39148926138188955
GG498,0.39000149530077477
GG257,0.3880407341708869
GG634,0.38610238167728095
GG601,0.3826657579965323
GG536,0.3772810158426293
GG615,0.3765663438642195
GG337,0.37241566952228367
GG485,0.36934021625111463
GG346,0.352103730893792
GG530,0.34160594512654635
GG528,0.32829828700168046
GG348,0.31660833639282204
GG655,0.30567298990282393
GG283,0.29878597748126784
GG479,0.28379293090231666
GG614,0.28048544194562536
GG600,0.2798838541830502
GG276,0.27392975790502616
GG240,0.26770674263333405
GG286,0.26611825474819295
GG541,0.26549593001365457
GG490,0.25993829004248864
GG493,0.25308806428908776
GG605,0.24424071390548419
GG280,0.23727733058909709
GG604,0.2363239038030277
GG508,0.23542001583237226
GG617,0.23259123771131157
GG27,0.22881650787119265
GG642,0.22493635266420836
GG618,0.2220802503839228
GG524,0.22127206691095408
GG602,0.2209728554956822
GG641,0.22031036946816193
GG383,0.2186475128865612
GG396,0.2177614603320588
GG330,0.2151113263265967
GG505,0.2128834743741764
GG532,0.21188496940746016
GG394,0.20874277326829266
GG289,0.20329018279106814
GG256,0.20067552205858805
GG603,0.1991552332741167
GG533,0.1971005668285288
GG523,0.1945697823895172
GG522,0.18941615683513063
GG504,0.18653538659385532
GG239,0.18615301382486396
GG531,0.18568288862501017
GG647,0.18221853995672313
GG270,0.1793023872346341
GG503,0.17922025964255706
GG534,0.17518162094553638
GG288,0.17517624591893483
GG495,0.17400335159405222
GG291,0.1726154689533309
GG652,0.1720376350751221
GG328,0.16966838621438868
GG538,0.1691796061435122
GG648,0.1687751920802888
GG651,0.1664985984094107
GG537,0.1658951814306806
GG506,0.16527810029232068
GG610,0.1651695938399657
GG512,0.164642381245921
GG529,0.16393464979933053
GG492,0.1637523679960395
GG527,0.16127607041479006
GG525,0.16124295490175086
GG510,0.16080879794678507
GG28,0.16054470232763277
GG344,0.15603416195858602
GG635,0.1560211538321953
GG363,0.15514236603956777
GG226,0.1522020634794965
GG292,0.150985144550067
GG656,0.1507615169360898
GG539,0.15045740467628255
GG318,0.14915624414473128
GG526,0.14751792188736979
GG385,0.145767580770353
GG611,0.1436750598951411
GG269,0.14323915388535252
GG507,0.14225288992111382
GG447,0.1375474399377542
GG395,0.13525218248615586
GG336,0.13479534240507351
GG494,0.1342313065873408
GG450,0.1330505474281232
GG616,0.13181606521167583
GG499,0.13177028837162813
GG509,0.13078036149927508
GG349,0.13062900725657886
GG511,0.13005864727291314
GG640,0.1287080853875631
GG324,0.12777456867318313
GG384,0.12764632690387687
GG255,0.12739558002385049
GG513,0.12397747586706427
GG321,0.12128909878279549
GG361,0.12018158540925528
GG334,0.11879259994425666
GG393,0.11828137339064176
GG350,0.11825236215789543
GG353,0.11775417301064683
GG345,0.11710934894381424
GG436,0.11680190029382936
GG357,0.11668209429828398
GG487,0.11619154515042826
GG644,0.11573236298629674
GG620,0.1154447312016577
GG352,0.11465688465802445
GG638,0.11461018735754094
GG343,0.11407660981375987
GG597,0.11407014075807476
GG326,0.11390076509597617
GG307,0.1136729872354178
GG502,0.11333735570896775
GG488,0.11296654823681579
GG272,0.11295476849916143
GG355,0.11263984695038728
GG636,0.11211432891635209
GG535,0.11133148266660929
GG439,0.11120419396334026
GG435,0.1111496885786092
GG223,0.11091408332173083
GG356,0.11077199122144896
GG621,0.11073379801822347
GG481,0.11063413471703701
GG639,0.10972225088127698
GG501,0.1094668575868951
GG339,0.1091820511243548
GG333,0.10844738173715278
GG234,0.10837837675762399
